logT,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1
3.75,-1.01,-1.134,-1.309,-1.51,-1.722,-1.937,-2.147,-2.339,-2.491,-2.571,-2.547,-2.43,-2.254,-2.042,-1.812,-1.568,-1.303,-1.009,-0.672
3.8,-0.839,-0.885,-0.936,-1.03,-1.163,-1.321,-1.486,-1.641,-1.762,-1.82,-1.801,-1.705,-1.551,-1.368,-1.167,-0.955,-0.73,-0.489,-0.227
3.85,-0.854,-0.85,-0.846,-0.843,-0.847,-0.872,-0.922,-0.984,-1.034,-1.052,-1.023,-0.947,-0.83,-0.683,-0.517,-0.336,-0.143,0.065,0.292
3.9,-0.856,-0.848,-0.84,-0.821,-0.778,-0.699,-0.594,-0.489,-0.402,-0.33,-0.263,-0.189,-0.1,0.008,0.134,0.278,0.436,0.611,0.805
3.95,-0.85,-0.846,-0.842,-0.825,-0.781,-0.685,-0.517,-0.281,-0.018,0.209,0.375,0.494,0.589,0.678,0.773,0.879,1.001,1.141,1.301
4,-0.763,-0.788,-0.815,-0.818,-0.788,-0.703,-0.535,-0.267,0.083,0.454,0.77,1,1.156,1.266,1.356,1.442,1.537,1.646,1.775
4.05,-0.685,-0.702,-0.72,-0.744,-0.751,-0.702,-0.562,-0.311,0.047,0.469,0.894,1.26,1.53,1.711,1.837,1.933,2.02,2.112,2.219
4.1,-0.688,-0.685,-0.682,-0.676,-0.662,-0.622,-0.524,-0.327,-0.011,0.399,0.857,1.308,1.696,1.991,2.195,2.333,2.439,2.532,2.629
4.15,-0.683,-0.678,-0.673,-0.662,-0.634,-0.569,-0.443,-0.251,0.01,0.358,0.782,1.249,1.713,2.117,2.422,2.635,2.785,2.9,3.002
4.2,-0.684,-0.675,-0.666,-0.653,-0.626,-0.563,-0.431,-0.212,0.082,0.418,0.786,1.21,1.679,2.14,2.544,2.851,3.064,3.22,3.343
