m [g],r [cm],T [K],P [dyne/cm^2],l [erg/s],ρ [g/cm^3],κ [cm^2/g],ε [erg/g/s],∇_ad,∇_rad,∇,shell type
2.9836499999999994e+22,4338565.171972813,18206134.974514812,2.1481399648600557e+17,2.827917984373901e+24,87.22096729672076,0.7179648451908086,94.78043460234863,0.3999996017406418,0.5245531652734596,0.3999996017406418,convective
5.991265089957637e+30,2549541163.4472704,17973542.29236996,2.080189097234909e+17,5.149110835619247e+32,85.55707614127112,0.7325599332407164,80.44003327644776,0.3999996167923456,0.494767115299755,0.3999996167923456,convective
1.1982530150078776e+31,3219086858.6725416,17836606.107273724,2.0407995180496867e+17,9.740388700103895e+32,84.58263189490792,0.7413941536096632,73.26018762372165,0.399999625475739,0.47907579317756005,0.399999625475739,convective
1.7973795210199914e+31,3692650093.460539,17720949.825867675,2.007877870517369e+17,1.3960372605391836e+33,83.7623111902348,0.7489989183715053,67.82225945222014,0.3999996327052217,0.46698569497477627,0.3999996327052217,convective
2.396506027032105e+31,4071698998.543136,17617561.352811813,1.9787197172827123e+17,1.7887149873447674e+33,83.0312450142756,0.7559114507637485,63.395568832987905,0.3999996390886723,0.45688879991583076,0.3999996390886723,convective
2.995632533044219e+31,4393388926.126784,17522395.98950948,1.952106565186362e+17,2.1570265572006026e+33,82.36020377156109,0.7623718154102176,59.64945486653396,0.3999996448987422,0.4481663050076379,0.3999996448987422,convective
3.5947590390563328e+31,4675902028.736987,17433283.685188424,1.9273819335252826e+17,2.5044588242173055e+33,81.73348219865477,0.7685078745970272,56.40244815530909,0.39999965028249934,0.4404729918076433,0.39999965028249934,convective
4.193885545068447e+31,4929656554.426623,17348890.98605219,1.904140898307995e+17,2.83363852187467e+33,81.14141745189201,0.7743976895204038,53.54114442850231,0.39999965533076554,0.433590729100501,0.39999965533076554,convective
4.79301205108056e+31,5161243902.121345,17268324.766006887,1.882111296252937e+17,3.1466325051491e+33,80.57752995449697,0.780093242213322,50.988650184814006,0.39999966010465315,0.42737030793355135,0.39999966010465315,convective
5.392138557092674e+31,5375130040.252901,17190949.978421833,1.8610989716014637e+17,3.445117232428706e+33,80.03720744704181,0.7856313020685369,48.689818440149544,0.39999966464780484,0.4217038436160475,0.39999966464780484,convective
5.991265063104788e+31,5574497228.620991,17116294.75925139,1.840959209120399e+17,3.7304833938707455e+33,79.51701930644315,0.791039062950803,46.60344251371813,0.3999996689927821,0.4165100665515597,0.3999996689927821,convective
6.590391569116902e+31,5761702458.3826065,17043996.42977658,1.821580448624745e+17,4.0039047936565673e+33,79.01432613969658,0.7963373394513517,44.69775309525136,0.3999996731647103,0.41172579553430333,0.3999996731647103,convective
7.1895180751290155e+31,5938545858.9997635,16973768.647250686,1.8028743599444237e+17,4.2663859547945836e+33,78.52704213660418,0.8015425047886435,42.94764500097198,0.39999967718350143,0.4073006690004099,0.39999967718350143,convective
7.788644581141129e+31,6106436983.470028,16905380.347129352,1.784769469670066e+17,4.518796293080401e+33,78.05348264054726,0.8066677290638768,41.332879581759286,0.3999996810652816,0.4031937215097557,0.3999996810652816,convective
8.387771087153242e+31,6266502631.854158,16838654.712969627,1.7672068926879603e+17,4.7618955122349593e+33,77.59220176078306,0.8117222693439662,39.83707852737325,0.3999996848213959,0.3993690819725581,0.3993690819725581,radiative
8.986897593165355e+31,6419660839.092469,16773804.470401201,1.750137377040167e+17,4.996367314643154e+33,77.14032845425868,0.8166709339513141,38.45201746687127,0.39999968840793526,0.39574310435991944,0.39574310435991944,radiative
9.58602409917747e+31,6566672734.460035,16710869.613034923,1.733519217426918e+17,5.222848952078648e+33,76.6960942296646,0.8214989941528869,37.16768374855636,0.3999996918099932,0.3922692814425467,0.3922692814425467,radiative
1.0185150605189584e+32,6708175140.2477255,16649687.88584855,1.7173167145330733e+17,5.441908030427732e+33,76.25889997913237,0.8262167021619586,35.97245188374643,0.39999969504439625,0.38893728603661043,0.38893728603661043,radiative
1.0784277111201697e+32,6844706487.191778,16590120.211551446,1.7014990053842624e+17,5.654048197955399e+33,75.82822507065309,0.8308327713601289,34.85651221082923,0.3999996981254826,0.38573718802774914,0.38573718802774914,radiative
1.138340361721381e+32,6976726569.329672,16532045.079929316,1.6860391731558986e+17,5.859718806914348e+33,75.4036188607438,0.8353548217061659,33.81149947123129,0.39999970106575916,0.38265978091496367,0.38265978091496367,radiative
1.1982530123225925e+32,7104631511.481459,16475355.574544312,1.6709135592912035e+17,6.059322741691101e+33,74.98468786825468,0.839789562596657,32.83022829044165,0.39999970387620737,0.3796965775111483,0.3796965775111483,radiative
1.258165662923804e+32,7228765290.14031,16419957.020998135,1.6561012240914947e+17,6.253222843420646e+33,74.57108583937611,0.8441429378956068,31.90648632414979,0.39999970656652545,0.37683977793558265,0.37683977793558265,radiative
1.3180783135250152e+32,7349428726.265808,16365765.104156453,1.6415835181660262e+17,6.44174723069036e+33,74.16250594379247,0.8484202423259636,31.034870579106986,0.3999997091453246,0.37408222444938966,0.37408222444938966,radiative
1.3779909641262265e+32,7466886593.399372,16312704.344290987,1.6273437379382563e+17,6.625193742188861e+33,73.75867456746076,0.8526262158789958,30.210656513990465,0.39999971162028797,0.37141735129816267,0.37141735129816267,radiative
1.437903614727438e+32,7581373300.126307,16260706.85148323,1.6133668457723302e+17,6.803833673830817e+33,73.35934631915069,0.8567651211371036,29.429692343438724,0.39999971399830114,0.36883913408179114,0.36883913408179114,radiative
1.4978162653286495e+32,7693097479.789285,16209711.29829724,1.5996392404023402e+17,6.977914943748129e+33,72.96429997194811,0.8608408071627432,28.688312942136477,0.3999997162855601,0.3663420410716655,0.3663420410716655,radiative
1.5577289159298608e+32,7802245732.515723,16159662.06549771,1.5861485669663376e+17,7.14766478940929e+33,72.57333513365009,0.8648567627144824,27.98326915074114,0.3999997184876612,0.3639209876808686,0.3639209876808686,radiative
1.617641566531072e+32,7908985702.422504,16110508.526304116,1.5728835585471773e+17,7.313292079177175e+33,72.18626949164873,0.868816160902307,27.311669300299833,0.3999997206096771,0.36157129459303977,0.36157129459303977,radiative
1.6775542171322835e+32,8013468628.152883,16062204.44255143,1.559833903017351e+17,7.474989303881959e+33,71.80293651517127,0.8727218969156036,26.67093051476882,0.3999997226562203,0.3592886496579194,0.3592886496579194,radiative
1.737466867733495e+32,8115831472.3186,16014707.451995939,1.546990130384576e+17,7.632934301095025e+33,71.42318352499846,0.8765766200998844,26.05873790191219,0.39999972463149747,0.3570690734425061,0.3570690734425061,radiative
1.797379518334706e+32,8216198711.37353,15967978.630425228,1.5343435168812467e+17,7.787291754762576e+33,71.0468700609699,0.880382761388508,25.473010155616468,0.3999997265393559,0.3549088882133503,0.3549088882133503,radiative
1.8572921689359176e+32,8314683849.489527,15921982.115597125,1.521886002831903e+17,7.938214504987893e+33,70.67386649271056,0.8841425568896861,24.911870405314133,0.3999997283833235,0.3528046900742027,0.3528046900742027,radiative
1.917204819537129e+32,8411390706.412579,15876684.795668658,1.5096101219371734e+17,8.085844696240683e+33,70.30405277244607,0.887858066473903,24.37362148320493,0.39999973016664114,0.35075332209298715,0.35075332209298715,radiative
1.9771174701383405e+32,8506414515.999785,15832051.908033542,1.4975089400768842e+17,8.230314766228606e+33,69.9373356874914,0.8919447543002615,23.85669536490867,0.3999997318928502,0.34891399291434694,0.34891399291434694,radiative
2.037030120739552e+32,8599842749.066797,15788015.772731628,1.4855760018408147e+17,8.371747457776027e+33,69.57378502040656,0.8966708415256288,23.35942581613416,0.3999997335699928,0.3473859429610346,0.3473859429610346,radiative
2.096942771340763e+32,8691755899.39372,15744540.409797635,1.473805283106297e+17,8.510256420932996e+33,69.21334462677441,0.9013652862651592,22.880502123799566,0.3999997352018405,0.3459018700505001,0.3459018700505001,radiative
2.1568554219419745e+32,8782228363.062044,15701602.22316788,1.4621911500776742e+17,8.645948145321099e+33,68.85591758808562,0.9060298275215874,22.41879747939366,0.39999973679054884,0.34445953498179904,0.34445953498179904,radiative
2.216768072543186e+32,8871329067.683245,15659179.178467276,1.450728323648976e+17,8.778922657406717e+33,68.50141301711477,0.9106660914093411,21.97327942258028,0.399999738338121,0.34305685637352623,0.34305685637352623,radiative
2.276680723144397e+32,8959122010.823317,15617250.662290055,1.4394118479119982e+17,8.909274055785605e+33,68.14974551806985,0.9152756013435185,21.543000050685794,0.39999973984642206,0.3416918964585809,0.3416918964585809,radiative
2.3365933737456086e+32,9045666732.780521,15575797.357391402,1.4282370622212077e+17,9.03709099152404e+33,67.800834708674,0.9198597870775664,21.127087436581927,0.3999997413171915,0.3403628484424019,0.3403628484424019,radiative
2.39650602434682e+32,9131018733.185398,15534801.131637868,1.4171995763325918e+17,9.162457100263323e+33,67.45460479563286,0.9244199927455213,20.724738082198822,0.39999974275205435,0.3390680252219285,0.3390680252219285,radiative
2.4564186749480315e+32,9215229839.325338,15494244.93890136,1.4062952482095728e+17,9.28545139184619e+33,67.11098419630618,0.9289574840403004,20.33521026293079,0.39999974415253087,0.3378058492926657,0.3378058492926657,radiative
2.516331325549243e+32,9298348532.82011,15454112.730358763,1.3955201641515829e+17,9.406148602427526e+33,66.7699052005219,0.9334734546393354,19.957818141153126,0.3999997455200458,0.33657484369629886,0.33657484369629886,radiative
2.576243976150454e+32,9380420240.230074,15414389.37488866,1.3848706209525312e+17,9.524619513360543e+33,66.43130366739354,0.9379690319723128,19.591926545957065,0.3999997468559359,0.335373623882349,0.335373623882349,radiative
2.6361566267516656e+32,9461487592.319305,15375060.58744734,1.374343109839247e+17,9.640931240581403e+33,66.09511875276509,0.9424452824119041,19.23694633183109,0.39999974816145706,0.33420089037498274,0.33420089037498274,radiative
2.696069277352877e+32,9541590655.984922,15336112.864465507,1.3639343019757525e+17,9.755147497732398e+33,65.76129266354305,0.946903215956812,18.892330241988226,0.399999749437791,0.3330554221509767,0.3330554221509767,radiative
2.755981927954088e+32,9620767142.273504,15297533.425440678,1.3536410353491694e+17,9.867328835852117e+33,65.42977043570646,0.9513437904668947,18.557569212858297,0.39999975068605065,0.3319360706474735,0.3319360706474735,radiative
2.8158945785552996e+32,9699052593.412724,15259310.160012746,1.3434603028782774e+17,9.977532862108517e+33,65.10049973323083,0.9557679155018032,18.232189065324494,0.3999997519072858,0.33084175432880053,0.33084175432880053,radiative
2.875807229156511e+32,9776480551.373537,15221431.579905264,1.3333892416070318e+17,1.0085814439748318e+34,64.77343066553792,0.9601764558079128,17.915747535899232,0.39999975310248725,0.329771453750829,0.329771453750829,radiative
2.9357198797577225e+32,9853082710.130945,15183886.775195772,1.3234251228634101e+17,1.0192225871175483e+34,64.44851562140059,0.9645702344922271,17.6078316074609,0.3999997542725918,0.3287242070690485,0.3287242070690485,radiative
2.995632530358934e+32,9928889053.498129,15146665.374447195,1.3135653432793218e+17,1.0296817065846367e+34,64.12570911750194,0.9689500359172194,17.308055104612244,0.3999997554184858,0.32769910594331164,0.32769910594331164,radiative
3.055545180960145e+32,10003927980.160145,15109757.508291135,1.3038074165804459e+17,1.0399635694474006e+34,63.8049676600775,0.9733166083461,17.0160565233447,0.3999997565410084,0.3266952917978721,0.3266952917978721,radiative
3.1154578315613566e+32,10078226417.321993,15073153.776104232,1.2941489660661064e+17,1.0500727330864518e+34,63.48624961826623,0.9776706663644961,16.731497068630414,0.39999975764095547,0.32571195240034945,0.32571195240034945,radiative
3.175370482162568e+32,10151809924.205458,15036845.21546218,1.2845877177089653e+17,1.0600135582560844e+34,63.169515107964045,0.9820128931013453,16.454058876932248,0.39999975871908194,0.32474831872751775,0.32474831872751775,radiative
3.235283132763779e+32,10224702786.474686,15000823.274093306,1.2751214938126571e+17,1.069790221134017e+34,62.85472588511958,0.9863439422690998,16.183443403508676,0.3999997597761049,0.32380366208954314,0.32380366208954314,radiative
3.295195783364991e+32,10296928102.537766,14965079.784086041,1.2657482071726946e+17,1.0794067244498307e+34,62.54184524753614,0.9906644400409914,15.919369956873188,0.39999976081270616,0.32287729148751676,0.32287729148751676,radiative
3.3551084339662025e+32,10368507862.557405,14929606.938132685,1.2564658556922357e+17,1.088866907775526e+34,62.23083794435309,0.9949749867811114,15.661574364908688,0.39999976182953423,0.3219685511819643,0.3219685511819643,radiative
